,FOX DROP STORE,,,,,
,Pokémon B2B Wholesale Price List – Italy Stock,,,,,
,,,,,,
,🇮🇹 All products are shipped directly from our warehouse in Italy.,,,,,
,🇪🇺 All Price are with 0% Vat (Reverse Charge),,,,,
,🚚 Free shipping on orders over €300.,,,,,
,💰Discount Available on Large Volume,,,,,
,,,,,,
Photo,Product,Configuration,Price Per Box ,Status,,
,Gem Pack V.4,1 Case / 20 Box ,€25.00,🟢 In Stock,,
,Gem Pack V.5,1 Case / 40 Box ,€34.00,🟢 In Stock,,
,Gem Pack V.6,1 Case / 40 Box,€25.00,🟢 In Stock,,
,30th Anniversary Booster Box,1 Case / 12 Box,€85.00,🟡 Preorder - End September  ,,
,CSV9.5 Terastal Gathering,Box,€55.00,🟢 In Stock,,
,CSV9.5 Terastal Gathering,Sealed Factory Case / 20 Box,€69.00,🟢 In Stock,,
,CSV4 Bonus Round Slim,1 Case / 20 Box ,€29.00,🟢 In Stock,,
,CSV5 Dark Crystal Blaze Slim,1 Case / 20 Box ,€23.00,🟢 In Stock,,
,CSV6 True Mystery Slim,1 Case / 20 Box ,€20.00,🟢 In Stock,,
,CSV7 Blade Awekining Slim,1 Case / 20 Box ,€22.00,🟢 In Stock,,
,CSV8 Brilliant Stars Slim,1 Case / 20 Box ,€23.00,🟢 In Stock,,
,CSV9 Stellar Crystal Slim,1 Case / 20 Box ,€25.00,🟢 In Stock,,
,CSV10 Chasing Glory Slim,1 Case / 20 Box ,€25.00,🟢 In Stock,,
,151 V1 Journey Slim,Box,€40.00,🟢 In Stock,,
,151 V2 Hope Slim,Box,€40.00,🟢 In Stock,,
,151 V3 Surprise Slim,Box,€43.00,🟢 In Stock,,
,151 V4 Gathering Slim,Box,€40.00,🟢 In Stock,,
,CS3bC Primordial Arts Jumbo,1 Case / 24 Box ,€39.00,🟢 In Stock,,
,CS3aC Primordial Arts Jumbo,1 Case / 24 Box ,€39.00,🟢 In Stock,,
,CS2aC Vivid Slim,1 Case / 12 Box ,€45.00,🟢 In Stock,,
,CS2bC Vivid Slim,1 Case / 12 Box ,€38.00,🟢 In Stock,,
,CS3.5 Scorching Skies,1 Case / 20 Box ,€35.00,🟢 In Stock,,
,CS4.5 Final Flame Dance,1 Case / 20 Box ,€38.00,🟢 In Stock,,
,CS5.5 Shadow of Glory,1 Case / 20 Box ,€40.00,🟡 Preorder - Early October ,,
,CS5bC Brave Stars Jumbo,1 Case / 20 Box ,€40.00,🟢 In Stock,,
,CS5aC Brave Stars Jumbo,1 Case / 20 Box ,€46.00,🔴 Sold Out,,
,CS6aC Azure Shadow Jumbo,Box,€60.00,🔴 Sold Out,,
,CS6bC Azure Shadow Jumbo,Box,€77.00,🔴 Sold Out,,
,CS4aC Friends Jumbo,Box,€170.00,🟢 In Stock,,
,CS4bC Origin Jumbo,Box,€85.00,🟢 In Stock,,
,CSM1aC Storming Emergence Sun&Moon Slim,Box,€146.00,🟢 In Stock,,
,Gem Pack V.2,Box,€54.00,🟢 In Stock,,
,Gem Pack V.3,Box,€55.00,🔴 Sold Out,,
,151 V1 Journey Jumbo,1 Case / 20 Box,€105.00,🟢 In Stock,,
,151 V2 Hope Jumbo,1 Case / 20 Box,€105.00,🟡 Preorder - Early October ,,
,151 V4 Gathering Jumbo,Box,€95.00,🟢 In Stock,,
,CSV4 Bonus Round Jumbo,1 Case / 12 Box,€49.00,🟢 In Stock,,
,CSV5 Dark Crystal Blaze Jumbo,1 Case / 12 Box,€40.00,🟢 In Stock,,
,CSV6 True Mystery Jumbo,1 Case / 12 Box,€34.00,🟢 In Stock,,
,CSV7 Blade Awekining Jumbo,1 Case / 12 Box,€36.00,🟢 In Stock,,
,CSV8 Brilliant Stars Jumbo,1 Case / 12 Box,€36.00,🟢 In Stock,,
,CSV9 Stellar Crystal Jumbo,1 Case / 20 Box,€43.00,🟢 In Stock,,
,CSV10 Chasing Glory Jumbo,1 Case / 20 Box,€48.00,🟢 In Stock,,
,151 Promo Pack,Single Pack,€2.00,🟢 In Stock,,
,30th Anniversary Coin,1 Case / 15 Box ,€16.00,🟡 Preorder - Early October ,,
,30th Anniversary Espeon & Umbreon Gift Box,1 Case / 6 Box,€130.00,🟡 Preorder - Early October ,,
,30th Anniversary Greninja Blister,1 Case / 12 Box,€28.00,🟡 Preorder - Early October ,,
,30th Anniversary Sylveon Blister,1 Case / 12 Box,€28.00,🟡 Preorder - Early October ,,
,30th Anniversary Umbreon Luxury Gift Box,1 Case / 12 Box,€30.00,🟡 Preorder - Early October ,,
,30th Anniversary Sylveon Luxury Gift Box,1 Case / 12 Box,€30.00,🟡 Preorder - Early October ,,
,CSV9.5 Badge,1 Case / 10 Box,€10.00,🟢 In Stock,,
,CSV9.5 Coin Set,Single Box,€9.00,🟢 In Stock,,
,CSV9.5 Tin Set,Single Box,€16.00,🟢 In Stock,,
,CSV9.5 Keychain BlindBox,1 Case / 10 Box,€21.00,🟢 In Stock,,9
