Product,Configuration,Price,Status,Image_File
Gem Pack V.4,1 Case / 20 Box ,25,🟢 In Stock,Gem_Pack_V4.jpg
Gem Pack V.5,1 Case / 40 Box ,34,🟢 In Stock,Gem_Pack_V5.jpg
Gem Pack V.6,1 Case / 40 Box,25,🟢 In Stock,Gem_Pack_V6.jpg
CSV9.5 Terastal Gathering,Box,55,🟢 In Stock,CSV95_Terastal_Gathering.jpg
CSV9.5 Terastal Gathering,Sealed Factory Case / 20 Box,69,🟢 In Stock,CSV95_Terastal_Gathering.jpg
CSV4 Bonus Round Slim,1 Case / 20 Box ,29,🟢 In Stock,CSV4_Bonus_Round_Slim.jpg
CSV5 Dark Crystal Blaze Slim,1 Case / 20 Box ,23,🟢 In Stock,CSV5_Dark_Crystal_Blaze_Slim.jpg
CSV6 True Mystery Slim,1 Case / 20 Box ,20,🟢 In Stock,CSV6_True_Mystery_Slim.jpg
CSV7 Blade Awekining Slim,1 Case / 20 Box ,22,🟢 In Stock,CSV7_Blade_Awekining_Slim.jpg
CSV8 Brilliant Stars Slim,1 Case / 20 Box ,23,🟢 In Stock,CSV8_Brilliant_Stars_Slim.jpg
CSV9 Stellar Crystal Slim,1 Case / 20 Box ,25,🟢 In Stock,CSV9_Stellar_Crystal_Slim.jpg
CSV10 Chasing Glory Slim,1 Case / 20 Box ,25,🟢 In Stock,CSV10_Chasing_Glory_Slim.jpg
151 V1 Journey Slim,Box,40,🟢 In Stock,151_V1_Journey_Slim.jpg
151 V2 Hope Slim,Box,40,🟢 In Stock,151_V2_Hope_Slim.jpg
151 V3 Surprise Slim,Box,43,🟢 In Stock,151_V3_Surprise_Slim.jpg
151 V4 Gathering Slim,Box,40,🟢 In Stock,151_V4_Gathering_Slim.jpg
CS3bC Primordial Arts Jumbo,1 Case / 24 Box ,39,🟢 In Stock,CS3bC_Primordial_Arts_Jumbo.jpg
CS3aC Primordial Arts Jumbo,1 Case / 24 Box ,39,🟢 In Stock,CS3aC_Primordial_Arts_Jumbo.jpg
CS2aC Vivid Slim,1 Case / 12 Box ,45,🟢 In Stock,CS2aC_Vivid_Slim.jpg
CS2bC Vivid Slim,1 Case / 12 Box ,38,🟢 In Stock,CS2bC_Vivid_Slim.jpg
CS3.5 Scorching Skies,1 Case / 20 Box ,35,🟢 In Stock,CS35_Scorching_Skies.jpg
CS4.5 Final Flame Dance,1 Case / 20 Box ,38,🟢 In Stock,CS45_Final_Flame_Dance.jpg
CS5bC Brave Stars Jumbo,1 Case / 20 Box ,40,🟢 In Stock,CS5bC_Brave_Stars_Jumbo.jpg
CS4aC Friends Jumbo,Box,170,🟢 In Stock,CS4aC_Friends_Jumbo.jpg
CS4bC Origin Jumbo,Box,85,🟢 In Stock,CS4bC_Origin_Jumbo.jpg
CSM1aC Storming Emergence Sun&Moon Slim,Box,146,🟢 In Stock,CSM1aC_Storming_Emergence_SunMoon_Slim.jpg
Gem Pack V.2,Box,54,🟢 In Stock,Gem_Pack_V2.jpg
151 V1 Journey Jumbo,1 Case / 20 Box,105,🟢 In Stock,151_V1_Journey_Jumbo.jpg
151 V4 Gathering Jumbo,Box,95,🟢 In Stock,151_V4_Gathering_Jumbo.jpg
CSV4 Bonus Round Jumbo,1 Case / 12 Box,49,🟢 In Stock,CSV4_Bonus_Round_Jumbo.jpg
CSV5 Dark Crystal Blaze Jumbo,1 Case / 12 Box,40,🟢 In Stock,CSV5_Dark_Crystal_Blaze_Jumbo.jpg
CSV6 True Mystery Jumbo,1 Case / 12 Box,34,🟢 In Stock,CSV6_True_Mystery_Jumbo.jpg
CSV7 Blade Awekining Jumbo,1 Case / 12 Box,36,🟢 In Stock,CSV7_Blade_Awekining_Jumbo.jpg
CSV8 Brilliant Stars Jumbo,1 Case / 12 Box,36,🟢 In Stock,CSV8_Brilliant_Stars_Jumbo.jpg
CSV9 Stellar Crystal Jumbo,1 Case / 20 Box,43,🟢 In Stock,CSV9_Stellar_Crystal_Jumbo.jpg
CSV10 Chasing Glory Jumbo,1 Case / 20 Box,48,🟢 In Stock,CSV10_Chasing_Glory_Jumbo.jpg
151 Promo Pack,Single Pack,2,🟢 In Stock,151_Promo_Pack.jpg
CSV9.5 Badge,1 Case / 10 Box,10,🟢 In Stock,CSV95_Badge.jpg
CSV9.5 Coin Set,Single Box,9,🟢 In Stock,CSV95_Coin_Set.jpg
CSV9.5 Tin Set,Single Box,16,🟢 In Stock,CSV95_Tin_Set.jpg
CSV9.5 Keychain BlindBox,1 Case / 10 Box,21,🟢 In Stock,CSV95_Keychain_BlindBox.jpg
CSV9.5 Sylveon Gift Box,Single Box,110,🟢 In Stock,CSV95_Sylveon_Gift_Box.jpg
CSV9.5 Espeon Gift Box,Single Box,105,🟢 In Stock,CSV95_Espeon_Gift_Box.jpg
CSV9.5 Glaceon Gift Box,Single Box,105,🟢 In Stock,CSV95_Glaceon_Gift_Box.jpg
CSV9.5 Leafeon Gift Box,Single Box,110,🟢 In Stock,CSV95_Leafeon_Gift_Box.jpg
CSV9.5 Umbreon Gift Box,Single Box,115,🟢 In Stock,CSV95_Umbreon_Gift_Box.jpg
CSV9.5 Eevee Gift Box,Single Box,105,🟢 In Stock,CSV95_Eevee_Gift_Box.jpg
CSV9.5 Jolteon Gift Box,Single Box,110,🟢 In Stock,CSV95_Jolteon_Gift_Box.jpg
CSV9.5 Vaporeon Gift Box,Single Box,110,🟢 In Stock,CSV95_Vaporeon_Gift_Box.jpg
CSV9.5 Flareon Gift Box,Single Box,110,🟢 In Stock,CSV95_Flareon_Gift_Box.jpg
30th Anniversary V1,Single Box,11,🟢 In Stock,30th_Anniversary_V1.jpg
30th Anniversary V2,Single Box,11,🟢 In Stock,30th_Anniversary_V2.jpg
30th Anniversary V3,Single Box,11,🟢 In Stock,30th_Anniversary_V3.jpg
Lunar New Year 2026,1 Case / 12 Box,24,🟢 In Stock,Lunar_New_Year_2026.jpg
Dragon Boat Festival 2026,1 Case / 12 Box,24,🟢 In Stock,Dragon_Boat_Festival_2026.jpg
Lucario Fighting Radiant,1 Case / 12 Box,45,🟢 In Stock,Lucario_Fighting_Radiant.jpg
Charizard Fire Radiant,1 Case / 12 Box,47,🟢 In Stock,Charizard_Fire_Radiant.jpg
 Darkness Radiant,1 Case / 12 Box,45,🟢 In Stock,_Darkness_Radiant.jpg
Mew Radiant Gift Box,1 Case / 12 Box,60,🟢 In Stock,Mew_Radiant_Gift_Box.jpg
Shadow Rider Calyrex Radiant UPC,1 Case / 12 Box,53,🟢 In Stock,Shadow_Rider_Calyrex_Radiant_UPC.jpg
Ice Rider Calyrex Radiant UPC,1 Case / 12 Box,53,🟢 In Stock,Ice_Rider_Calyrex_Radiant_UPC.jpg
Metal Energy ETB,1 Case / 12 Box,60,🟢 In Stock,Metal_Energy_ETB.jpg
Grass Energy ETB,1 Case / 12 Box,60,🟢 In Stock,Grass_Energy_ETB.jpg
Lighting Energy ETB,1 Case / 12 Box,60,🟢 In Stock,Lighting_Energy_ETB.jpg
151 Dream Painting V1 ,1 Case / 12 Box,19,🟢 In Stock,151_Dream_Painting_V1.jpg
Dream Painting V2 Water,1 Case / 12 Box,14,🟢 In Stock,Dream_Painting_V2_Water.jpg
Dream Painting V3 Eevee And Friends,1 Case / 9 Box ,23,🟢 In Stock,Dream_Painting_V3_Eevee_And_Friends.jpg
151 Magnet V1,1 Case / 10 Box,10,🟢 In Stock,151_Magnet_V1.jpg
151 Hope Coin V2,1 Case / 12 Box,11,🟢 In Stock,151_Hope_Coin_V2.jpg
151 Gathering Coin V4,1 Case / 12 Box,11,🟢 In Stock,151_Gathering_Coin_V4.jpg
Paldea Trainer Keychain ,1 Case 10 Box,9,🟢 In Stock,Paldea_Trainer_Keychain.jpg
Paldea Trainer Battle ,1 Case 10 Box,11,🟢 In Stock,Paldea_Trainer_Battle.jpg
Gem Pack Coin Badge,1 Case 12 Box,14,🟢 In Stock,Gem_Pack_Coin_Badge.jpg
CSV10 Coin,1 Case 30 Box,9,🟢 In Stock,CSV10_Coin.jpg
CSV9 Coin,1 Case 30 Box,9,🟢 In Stock,CSV9_Coin.jpg
CSV8 Coin,1 Case 30 Box,7,🟢 In Stock,CSV8_Coin.jpg
CSV7 Coin,1 Case 30 Box,7,🟢 In Stock,CSV7_Coin.jpg
Pikachu V-Union,1 Case / 6 Box,20,🟢 In Stock,Pikachu_VUnion.jpg
Trainer Gift Box,1 Case / 7 Box,12,🟢 In Stock,Trainer_Gift_Box.jpg
Lugia Frame,1 Case / 6 Box,14,🟢 In Stock,Lugia_Frame.jpg
Lucario Frame,1 Case / 6 Box,11,🟢 In Stock,Lucario_Frame.jpg
Typlhosion Frame,1 Case / 6 Box,11,🟢 In Stock,Typlhosion_Frame.jpg
Mew Frame,1 Case / 6 Box,15,🟢 In Stock,Mew_Frame.jpg
Umbreon Frame,1 Case / 6 Box,22,🟢 In Stock,Umbreon_Frame.jpg
CS4 Deck 100,1 Case / 10 Box,7,🟢 In Stock,CS4_Deck_100.jpg
CS5 Vstar Deck 100,1 Case / 12 Box,7,🟢 In Stock,CS5_Vstar_Deck_100.jpg
Paldea Coin V2,1 Case / 10 Box,7,🟢 In Stock,Paldea_Coin_V2.jpg
Paldea Coin V1,1 Case / 10 Box,7,🟢 In Stock,Paldea_Coin_V1.jpg
MegaBall 3.0 Primordial Arts,1 Case / 12 Box,10,🟢 In Stock,MegaBall_30_Primordial_Arts.jpg
Pokeball 3.0 Primordial Arts,1 Case / 12 Box,10,🟢 In Stock,Pokeball_30_Primordial_Arts.jpg
Mewtwo V-Union,1 Case / 12 Box,15,🟢 In Stock,Mewtwo_VUnion.jpg
Greninja V-Union,1 Case / 12 Box,14,🟢 In Stock,Greninja_VUnion.jpg
Zacian V-Union,1 Case / 12 Box,13,🟢 In Stock,Zacian_VUnion.jpg
Return of Dragons Necrozma Gift Box,1 Case / 6 Box,65,🟢 In Stock,Return_of_Dragons_Necrozma_Gift_Box.jpg
Return of Dragons Rayquaza Gift Box,1 Case / 6 Box,70,🟢 In Stock,Return_of_Dragons_Rayquaza_Gift_Box.jpg
